name,salary_from,salary_to,salary_currency,area_name,published_at
Графический дизайнер,50000,70000,RUR,Москва,2022-12-27T06:09:38+0300
Программист 1 категории,54000,,RUR,Омск,2022-12-27T06:09:25+0300
Начальник смены (механик по ремонту),60000,,RUR,Тюмень,2022-12-27T06:21:50+0300
Наладчик станков с ЧПУ,50000,,RUR,Омск,2022-12-27T06:09:33+0300
Главный механик,70000,100000,RUR,Уфа,2022-12-27T06:58:52+0300
Руководитель проектов (машиностроение),80000,120000,RUR,Екатеринбург,2022-12-27T06:56:04+0300
Оператор станков с ЧПУ,45000,70000,RUR,Нефтекамск,2022-12-27T06:50:45+0300
Токарь-универсал,40000,,RUR,Нижний Тагил,2022-12-27T06:56:29+0300
Теплотехник на кирпичный завод,85000,90000,RUR,Новосибирск,2022-12-27T06:00:00+0300
Инженер-программист 1 категории,90000,150000,RUR,Омск,2022-12-27T06:10:08+0300
Системный администратор,40000,,RUR,Красноярск,2022-12-27T06:23:09+0300
Консультант 1C,75000,,RUR,Екатеринбург,2022-12-27T06:10:16+0300
Токарь,40000,50000,RUR,Уфа,2022-12-27T06:49:53+0300
Техник абонентской службы,31300,,RUR,Челябинск,2022-12-27T06:41:23+0300
Консультант 1С,250000,500000,KZT,Алматы,2022-12-27T06:57:15+0300
1С Специалист-консультант,200000,400000,KZT,Астана,2022-12-27T06:23:13+0300
Токарь,40000,70000,RUR,Нефтекамск,2022-12-27T06:50:25+0300
Токарь-расточник,60000,,RUR,Барнаул,2022-12-27T06:31:16+0300
"Механик по выпуску автотранспорта на линию на участок ""Пермяковский""",83500,,RUR,Белово,2022-12-27T06:47:53+0300
Менеджер проектов,65000,90000,RUR,Екатеринбург,2022-12-27T06:55:38+0300
Наладчик холодно-штамповочного оборудования,40000,40000,RUR,Омск,2022-12-27T06:09:30+0300
Инженер 1 категории ( IT ),38200,,RUR,Челябинск,2022-12-27T06:41:19+0300
Системный администратор/техник-программист/сервисный инженер,170000,200000,KZT,Усть-Каменогорск,2022-12-27T06:43:59+0300
